Participant ID, Condition, Ordering, Block Number, Trial Number, Trial Start Time, Start Mug Positon X, Start Mug Positon Y, Start Mug Positon Z, Pickup Hand Position X, Pickup Hand Position Y, Pickup Hand Position Z, Pickup Hand Rotation X, Pickup Hand Rotation Y, Pickup Hand Rotation Z, Pickup Time,  Drop Mug Positon X, Drop Mug Positon Y, Drop Mug Positon Z, Drop Hand Position X, Drop Hand Position Y, Drop Hand Position Z, Drop Hand Rotation X, Drop Hand Rotation Y, Drop Hand Rotation Z, Drop Time, Target Position X, Target Position Y, Target Position Z
333,VRTactile_Condition2,BCAD,1,1,2023-06-28 4:34:49 PM,-0.4651051,0.78329,0.4349914,-0.3953983,0.8315145,0.4293619,0.3062953,0.6864936,0.5588307,2023-06-28 4:34:49 PM,0.2064507,0.7720352,0.3832251,0.2482564,0.894272,0.3179956,0.5490695,0.4974941,0.4101872,2023-06-28 4:34:50 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,1,2,2023-06-28 4:34:50 PM,0.2055085,0.769712,0.3859667,0.2183554,0.8201701,0.3342726,0.5925632,0.4294632,0.4372272,2023-06-28 4:34:50 PM,0.2055628,0.790499,0.3846229,0.2159954,0.9315833,0.3304375,0.6024338,0.4773959,0.3752393,2023-06-28 4:34:51 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,1,3,2023-06-28 4:34:51 PM,0.2078338,0.7697142,0.3885356,0.2184836,0.8324289,0.3366313,0.609951,0.407876,0.4100278,2023-06-28 4:34:51 PM,0.1935296,0.7788949,0.3893544,0.202298,0.9417547,0.329991,0.6164286,0.4759424,0.3807144,2023-06-28 4:34:52 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,1,4,2023-06-28 4:34:52 PM,0.197931,0.7697208,0.3976986,0.2084083,0.8585897,0.3564586,0.6029291,0.4408516,0.395602,2023-06-28 4:34:52 PM,0.2031259,0.7904224,0.392727,0.2095601,0.9794987,0.3287773,0.6488404,0.4832874,0.3421749,2023-06-28 4:34:53 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,1,5,2023-06-28 4:34:54 PM,0.2058451,0.7697129,0.4051743,0.2128223,0.8386495,0.3531609,0.60233,0.3901736,0.411783,2023-06-28 4:34:54 PM,0.2013264,0.8142259,0.3930881,0.2037869,0.9870901,0.3275937,0.6023772,0.499935,0.343097,2023-06-28 4:34:54 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,2,6,2023-06-28 4:34:56 PM,0.207568,0.7697139,0.4010741,0.2164652,0.8323653,0.3581608,0.6139474,0.3618338,0.4129388,2023-06-28 4:34:56 PM,0.1967625,0.8036015,0.3832279,0.2034018,0.9619685,0.3318334,0.6029123,0.4445599,0.3870119,2023-06-28 4:34:57 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,2,7,2023-06-28 4:34:57 PM,0.2041404,0.7697155,0.3897558,0.2128125,0.8231134,0.3489738,0.5856816,0.357534,0.4301488,2023-06-28 4:34:57 PM,0.1902449,0.8644934,0.3712532,0.1995691,0.9975946,0.3179723,0.6251721,0.483496,0.338223,2023-06-28 4:34:58 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,2,8,2023-06-28 4:34:58 PM,0.1974844,0.7697109,0.3822064,0.2109984,0.8216075,0.3392567,0.582384,0.353837,0.4293611,2023-06-28 4:34:58 PM,0.1871174,0.8785126,0.3645694,0.2013921,1.009338,0.311748,0.6331861,0.4727622,0.3496837,2023-06-28 4:34:59 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,2,9,2023-06-28 4:35:00 PM,0.1960625,0.7697142,0.376635,0.2075998,0.8167487,0.3362194,0.5434666,0.3737593,0.4406526,2023-06-28 4:35:00 PM,0.197685,0.8574277,0.3625394,0.2110675,1.006839,0.3087385,0.6326546,0.4745426,0.3366116,2023-06-28 4:35:00 PM,0.4233,0.7492,0.4399
333,VRTactile_Condition2,BCAD,2,10,2023-06-28 4:35:01 PM,0.2040307,0.7697137,0.3746757,0.2182508,0.8568178,0.3342959,0.6141323,0.3570914,0.4670545,2023-06-28 4:35:01 PM,0.1919075,0.8251048,0.3699605,0.195322,0.9858925,0.3168796,0.5551278,0.4998573,0.4315645,2023-06-28 4:35:02 PM,0.4233,0.7492,0.4399
