Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
handL,0.01090088,0.6955154,-0.005872726,-0.6052337,-0.6052337,0.6949055
handL,0.01168282,0.6951383,-0.005570829,-0.6053035,-0.6053035,0.6942747
handL,0.01184428,0.6950021,-0.005579829,-0.6052734,-0.6052734,0.6941306
handL,0.01184641,0.6949055,-0.005602181,-0.6051599,-0.6051599,0.6941163
handL,0.01187019,0.6948277,-0.005632162,-0.6048989,-0.6048989,0.6941646
handL,0.01192982,0.6948197,-0.005640328,-0.6044967,-0.6044967,0.6943306
handL,0.01201241,0.6948413,-0.005604267,-0.6040359,-0.6040359,0.6946101
handL,0.01211892,0.6948235,-0.005532563,-0.603944,-0.603944,0.6946456
handL,0.01228932,0.6947048,-0.005430281,-0.6041563,-0.6041563,0.6945156
handL,0.01240277,0.6946515,-0.005367041,-0.6041462,-0.6041462,0.6945413
handL,0.01264866,0.6946115,-0.005338669,-0.6036232,-0.6036232,0.6949536
handL,0.01290391,0.6945554,-0.00536263,-0.602904,-0.602904,0.6955622
handL,0.0130611,0.694496,-0.005333066,-0.6027884,-0.6027884,0.695664
handL,0.01327853,0.6944598,-0.005240917,-0.6029337,-0.6029337,0.6955177
handL,0.01348591,0.694452,-0.005243123,-0.6026709,-0.6026709,0.6956158
handL,0.01365477,0.6943845,-0.005413711,-0.6014894,-0.6014894,0.6964072
handL,0.01358618,0.6943442,-0.005545735,-0.6008971,-0.6008971,0.6967889
handL,0.01339368,0.6943858,-0.005684018,-0.6006348,-0.6006348,0.6969212
handL,0.01302829,0.6945425,-0.005924761,-0.5999832,-0.5999832,0.6974041
handL,0.01261396,0.6947104,-0.00618875,-0.5991296,-0.5991296,0.698047
handL,0.01222404,0.6948863,-0.006438017,-0.5982808,-0.5982808,0.6987116
handL,0.01179808,0.6949804,-0.006539464,-0.597984,-0.597984,0.6990086
handL,0.01121921,0.6950415,-0.006590366,-0.5984361,-0.5984361,0.6986334
handL,0.01081005,0.6950715,-0.006648004,-0.5988815,-0.5988815,0.6984618
handL,0.01046967,0.6950557,-0.006706834,-0.598781,-0.598781,0.6988195
handL,0.01009691,0.6950245,-0.006768525,-0.5986867,-0.5986867,0.6991717
handL,0.009665087,0.695045,-0.006728292,-0.5990202,-0.5990202,0.699095
handL,0.009488225,0.6951001,-0.00659436,-0.5997134,-0.5997134,0.6987842
handL,0.009516612,0.6950577,-0.006534398,-0.5996655,-0.5996655,0.6988755
handL,0.009554096,0.6949559,-0.006412208,-0.599801,-0.599801,0.6988643
handL,0.009589262,0.694903,-0.006207824,-0.6002201,-0.6002201,0.6985338
handL,0.009614758,0.6949062,-0.006031036,-0.601194,-0.601194,0.6978413
handL,0.009657845,0.6948955,-0.005992532,-0.6012267,-0.6012267,0.6978956
handL,0.009796821,0.6948794,-0.006053627,-0.6009412,-0.6009412,0.69832
handL,0.009971514,0.694915,-0.00621438,-0.6004793,-0.6004793,0.6987939
handL,0.01006833,0.6949252,-0.006296694,-0.6001817,-0.6001817,0.6991459
handL,0.01011065,0.69498,-0.00635469,-0.6001528,-0.6001528,0.6993428
handL,0.01008338,0.6950405,-0.006422997,-0.6001248,-0.6001248,0.6994871
handL,0.009986542,0.6951298,-0.00649929,-0.5998312,-0.5998312,0.6998497
handL,0.009760544,0.6952856,-0.006541908,-0.5997113,-0.5997113,0.7000827
handL,0.009465277,0.6954148,-0.006539464,-0.5999108,-0.5999108,0.7000098
handL,0.00918939,0.6954642,-0.006537318,-0.5998663,-0.5998663,0.7001111
handL,0.0088633,0.6955383,-0.006609976,-0.5995228,-0.5995228,0.7005965
handL,0.008542374,0.6956422,-0.006639957,-0.5994754,-0.5994754,0.7008429
handL,0.00814078,0.6957177,-0.006561637,-0.5998496,-0.5998496,0.7007338
handL,0.007864498,0.695721,-0.006432116,-0.6000984,-0.6000984,0.7006344
handL,0.007699057,0.6958231,-0.006415009,-0.5999967,-0.5999967,0.7008631
handL,0.007572584,0.6959655,-0.006334782,-0.5996989,-0.5996989,0.7013375
handL,0.007481031,0.6960886,-0.006294429,-0.5992705,-0.5992705,0.7018844
handL,0.007497802,0.6962062,-0.006219566,-0.598909,-0.598909,0.7025214
handL,0.00762742,0.6963054,-0.006137848,-0.5987548,-0.5987548,0.7031125
handL,0.007771082,0.6963283,-0.006082475,-0.5988045,-0.5988045,0.7034229
handL,0.007994696,0.6962813,-0.006043196,-0.5987612,-0.5987612,0.7037775
handL,0.00827527,0.6962867,-0.006089747,-0.5983106,-0.5983106,0.7045584
handL,0.008558899,0.6963107,-0.006240189,-0.5978816,-0.5978816,0.7051839
handL,0.008920223,0.6963842,-0.006447792,-0.5970707,-0.5970707,0.7060235
handL,0.009254284,0.6964226,-0.006768346,-0.5955777,-0.5955777,0.7073388
handL,0.009587683,0.6963421,-0.007218421,-0.593757,-0.593757,0.7086174
handL,0.009989172,0.6962058,-0.007667661,-0.5921407,-0.5921407,0.709838
handL,0.0104003,0.696075,-0.00787133,-0.5905917,-0.5905917,0.7107285
handL,0.0105933,0.6959834,-0.007890463,-0.5899832,-0.5899832,0.7109466
handL,0.01061843,0.6959448,-0.0079,-0.5901259,-0.5901259,0.7107216
handL,0.01063798,0.6958788,-0.007904828,-0.5903535,-0.5903535,0.7104955
handL,0.01068109,0.6957838,-0.00779891,-0.5906614,-0.5906614,0.7100326
handL,0.0106857,0.695739,-0.007657588,-0.5908884,-0.5908884,0.7094705
handL,0.01080938,0.6956961,-0.007532656,-0.5908037,-0.5908037,0.7089815
handL,0.01096247,0.6955166,-0.007401168,-0.5906623,-0.5906623,0.7084088
handL,0.0111959,0.6953201,-0.007261336,-0.5909202,-0.5909202,0.7076131
handL,0.01135776,0.6950809,-0.00713563,-0.5919923,-0.5919923,0.706273
handL,0.01138745,0.6948417,-0.00712359,-0.5927324,-0.5927324,0.7051222
handL,0.01139231,0.6947284,-0.007271945,-0.592611,-0.592611,0.7051795
handL,0.01138713,0.6945531,-0.007501423,-0.5921345,-0.5921345,0.7052855
handL,0.01140124,0.6943802,-0.007760465,-0.5918223,-0.5918223,0.7051541
handL,0.01140793,0.6942272,-0.007963717,-0.5912257,-0.5912257,0.7050936
handL,0.0114592,0.6941739,-0.008119345,-0.5905678,-0.5905678,0.7052413
handL,0.01153681,0.6941446,-0.008190036,-0.589884,-0.589884,0.7054235
handL,0.01169123,0.6940044,-0.00815028,-0.5898497,-0.5898497,0.7051335
handL,0.01195271,0.6938944,-0.007938445,-0.5898524,-0.5898524,0.7046486
handL,0.01229605,0.6938485,-0.00786674,-0.5896968,-0.5896968,0.7045406
handL,0.01294348,0.6936324,-0.007717371,-0.5889723,-0.5889723,0.7045804
handL,0.01374303,0.6933212,-0.00752455,-0.5885574,-0.5885574,0.7045091
handL,0.01446697,0.6930997,-0.007281065,-0.5888909,-0.5888909,0.7039574
handL,0.01520824,0.6927961,-0.007031977,-0.589648,-0.589648,0.7030531
handL,0.01584035,0.6925959,-0.007002473,-0.5898911,-0.5898911,0.7025138
handL,0.01636221,0.6924849,-0.007158995,-0.5893793,-0.5893793,0.7027922
handL,0.01692604,0.6923424,-0.00742048,-0.5877979,-0.5877979,0.7034351
handL,0.01729556,0.6922142,-0.007693589,-0.5861714,-0.5861714,0.7041745
handL,0.01754117,0.6921918,-0.007875443,-0.5851934,-0.5851934,0.7046199
handL,0.01776813,0.692214,-0.00795424,-0.5848769,-0.5848769,0.7045217
handL,0.01809223,0.6922016,-0.007983506,-0.5844797,-0.5844797,0.7043393
handL,0.0184747,0.6922019,-0.007976115,-0.5838684,-0.5838684,0.7042032
handL,0.01882979,0.6921921,-0.00798732,-0.5831983,-0.5831983,0.7043243
handL,0.01931806,0.692168,-0.008011937,-0.5825649,-0.5825649,0.7045259
handL,0.01957876,0.6920514,-0.007923603,-0.5824651,-0.5824651,0.7044058
handL,0.01978101,0.6919908,-0.007854402,-0.5827208,-0.5827208,0.704163
handL,0.01997606,0.6919629,-0.007783651,-0.5829675,-0.5829675,0.7039006
handL,0.02022002,0.6918669,-0.007726014,-0.5829679,-0.5829679,0.7037569
handL,0.02047097,0.6917796,-0.007782876,-0.5824853,-0.5824853,0.7040713
handL,0.02054258,0.6916917,-0.007898629,-0.5824114,-0.5824114,0.704051
handL,0.02053932,0.691585,-0.007992148,-0.5824944,-0.5824944,0.7037873
handL,0.02048414,0.6916078,-0.008054793,-0.5824026,-0.5824026,0.7035858
handL,0.02049129,0.6918087,-0.008217454,-0.581856,-0.581856,0.7036981
handL,0.02065492,0.6918712,-0.008417845,-0.5804921,-0.5804921,0.7044322
handL,0.0207905,0.69179,-0.008508801,-0.5793431,-0.5793431,0.7052106
handL,0.02081862,0.6918063,-0.008507788,-0.5794862,-0.5794862,0.705203
handL,0.02091223,0.6918073,-0.008522689,-0.5802583,-0.5802583,0.70493
handL,0.02099798,0.6917053,-0.008570015,-0.5808617,-0.5808617,0.7046885
handL,0.02112485,0.691603,-0.008693039,-0.5807687,-0.5807687,0.7049295
handL,0.02133226,0.6915349,-0.008890629,-0.5805284,-0.5805284,0.7054655
handL,0.02150667,0.6915364,-0.008969188,-0.5802515,-0.5802515,0.7059516
handL,0.02163947,0.6914923,-0.009028256,-0.5802986,-0.5802986,0.7061384
handL,0.02173248,0.6914248,-0.0090096,-0.58058,-0.58058,0.706154
handL,0.02182785,0.6914414,-0.008960187,-0.5809016,-0.5809016,0.7061713
