Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
handR,0.5440426,0.7911284,0.1825891,0.2140821,0.2140821,0.4937337
handR,0.5433679,0.7789893,0.1818044,0.2013759,0.2013759,0.5129002
handR,0.5413393,0.7672126,0.1805742,0.1837647,0.1837647,0.5337498
handR,0.543065,0.7709708,0.1806995,0.1889106,0.1889106,0.5230566
handR,0.543742,0.7734641,0.1809096,0.1943076,0.1943076,0.5204334
handR,0.5424482,0.7765426,0.1812323,0.1997917,0.1997917,0.520889
handR,0.5416174,0.7849848,0.182478,0.2088322,0.2088322,0.5149782
handR,0.5428645,0.7938873,0.1834982,0.2118018,0.2118018,0.5031947
handR,0.5434402,0.808728,0.1844019,0.2221853,0.2221853,0.4708622
handR,0.5417592,0.8258417,0.1860493,0.2457962,0.2457962,0.436177
handR,0.5372211,0.8449482,0.1860555,0.2598236,0.2598236,0.4183995
handR,0.5305524,0.8672544,0.1810048,0.2615128,0.2615128,0.3993001
handR,0.5214859,0.8895109,0.1746467,0.2870307,0.2870307,0.3642936
handR,0.5086347,0.9095593,0.167062,0.3143232,0.3143232,0.3417319
handR,0.4945323,0.9260995,0.1591796,0.3415657,0.3415657,0.3231548
handR,0.4805453,0.940201,0.1518054,0.3673265,0.3673265,0.3019623
handR,0.4676253,0.9493154,0.142975,0.3757744,0.3757744,0.2915552
handR,0.4554047,0.9547165,0.1362262,0.3806982,0.3806982,0.2810629
handR,0.4429539,0.9583696,0.1311142,0.388449,0.388449,0.267939
handR,0.4303362,0.961338,0.127428,0.4072298,0.4072298,0.2538102
handR,0.417367,0.9627452,0.124688,0.4270051,0.4270051,0.251865
handR,0.4059084,0.9640466,0.1244456,0.4441201,0.4441201,0.2429019
handR,0.3962995,0.9636205,0.1256427,0.4570144,0.4570144,0.2426319
handR,0.3890355,0.9608529,0.1276732,0.4637109,0.4637109,0.2530991
handR,0.3819887,0.9584681,0.1279538,0.4690158,0.4690158,0.2545436
handR,0.3755099,0.956657,0.1294619,0.4807872,0.4807872,0.2716851
handR,0.3707114,0.9542894,0.1296762,0.4785542,0.4785542,0.279815
handR,0.36697,0.9520811,0.1295397,0.4667004,0.4667004,0.2821944
handR,0.3575002,0.9505112,0.1288027,0.4663055,0.4663055,0.2912358
handR,0.3517042,0.9504807,0.1284656,0.4880137,0.4880137,0.2908992
handR,0.3485304,0.9503371,0.12729,0.4992965,0.4992965,0.2805335
handR,0.3505847,0.9493343,0.126676,0.484606,0.484606,0.2839592
handR,0.3455405,0.9475007,0.126149,0.4652129,0.4652129,0.2865927
handR,0.3398547,0.9469873,0.1269904,0.462828,0.462828,0.2872359
handR,0.3310213,0.9473335,0.1286386,0.4897575,0.4897575,0.2932538
handR,0.3227578,0.9471216,0.130179,0.5114065,0.5114065,0.2999479
handR,0.3164113,0.9460924,0.131326,0.5161287,0.5161287,0.3074113
handR,0.3116632,0.9448275,0.1319672,0.5134398,0.5134398,0.312847
handR,0.3075767,0.9438878,0.1329744,0.5161679,0.5161679,0.3200845
handR,0.3050274,0.9432449,0.1341817,0.5182319,0.5182319,0.3215958
handR,0.3056913,0.9424402,0.134333,0.5113057,0.5113057,0.3174477
handR,0.3032969,0.9406533,0.1353928,0.5052025,0.5052025,0.3233613
handR,0.3040029,0.9408415,0.1351632,0.506654,0.506654,0.3223036
handR,0.3059889,0.9415702,0.1344635,0.5080398,0.5080398,0.3190136
handR,0.3051968,0.9400793,0.1354339,0.5037449,0.5037449,0.319424
handR,0.3086776,0.9387587,0.1367049,0.4977018,0.4977018,0.3127654
handR,0.3139899,0.9391657,0.1366587,0.4983987,0.4983987,0.2939011
handR,0.3201336,0.938121,0.1356121,0.4878752,0.4878752,0.2956193
handR,0.3271057,0.9360959,0.1345351,0.4791107,0.4791107,0.3042113
handR,0.3358277,0.9349633,0.1328259,0.4781525,0.4781525,0.2877101
handR,0.3453445,0.9344552,0.1307926,0.480203,0.480203,0.2559623
handR,0.3572888,0.9330756,0.1291327,0.4678046,0.4678046,0.2278603
handR,0.3697062,0.9312464,0.1263982,0.44923,0.44923,0.2028871
handR,0.382465,0.9288158,0.1232025,0.4348014,0.4348014,0.1886892
handR,0.3949228,0.9248983,0.1212323,0.4290788,0.4290788,0.1909334
handR,0.4071912,0.9230231,0.1224973,0.4309755,0.4309755,0.1653742
handR,0.4212324,0.9213181,0.126276,0.4211533,0.4211533,0.1424186
handR,0.4347886,0.9176145,0.1354641,0.435215,0.435215,0.1494243
handR,0.4485107,0.9105306,0.1473881,0.4225981,0.4225981,0.1560211
handR,0.4626838,0.9005798,0.1603427,0.4015001,0.4015001,0.1871339
handR,0.4755478,0.8910311,0.1731511,0.3928389,0.3928389,0.2196509
handR,0.4873202,0.8833088,0.184087,0.3842212,0.3842212,0.2478915
handR,0.4983508,0.8810266,0.1917799,0.3702489,0.3702489,0.2422518
handR,0.5078234,0.8798311,0.1990018,0.3591902,0.3591902,0.2374835
handR,0.515434,0.8757507,0.2062811,0.3531707,0.3531707,0.2625003
handR,0.5219195,0.8697433,0.212975,0.3424918,0.3424918,0.2950847
handR,0.5268589,0.865025,0.2189039,0.3320634,0.3320634,0.3182126
handR,0.5306173,0.8596408,0.2238702,0.3215591,0.3215591,0.3533029
handR,0.5330645,0.8555371,0.2283295,0.3229878,0.3229878,0.3867277
handR,0.5383786,0.8555962,0.2321788,0.3245227,0.3245227,0.3770607
handR,0.5446087,0.8557478,0.2347085,0.3202952,0.3202952,0.36154
handR,0.5496238,0.8552369,0.2369705,0.3173098,0.3173098,0.3612022
handR,0.5545686,0.8540593,0.2388576,0.3064929,0.3064929,0.3779747
handR,0.560128,0.8526565,0.2404702,0.2917752,0.2917752,0.3971908
handR,0.5661091,0.8504946,0.2410127,0.268859,0.268859,0.4185055
handR,0.5714852,0.8484463,0.2412156,0.2612033,0.2612033,0.4232109
handR,0.5773427,0.8461221,0.2417607,0.2623382,0.2623382,0.4087584
handR,0.5826632,0.8442711,0.2416565,0.2628201,0.2628201,0.3966278
handR,0.5865104,0.8411551,0.2419524,0.2511782,0.2511782,0.4075247
handR,0.5875207,0.8373069,0.2434524,0.2514923,0.2514923,0.4273494
handR,0.5868618,0.8322708,0.245482,0.2592348,0.2592348,0.4489135
handR,0.5876539,0.8267543,0.2461049,0.2528411,0.2528411,0.46
handR,0.5899979,0.8211588,0.2460966,0.2323895,0.2323895,0.4663913
handR,0.5923311,0.8161287,0.2469114,0.219376,0.219376,0.4728938
handR,0.5929132,0.8108415,0.248283,0.2101057,0.2101057,0.4901578
handR,0.5902387,0.8052564,0.2500553,0.2119884,0.2119884,0.5208315
handR,0.5889075,0.8002814,0.2505153,0.1937499,0.1937499,0.545213
handR,0.5900117,0.7969955,0.2513663,0.1791653,0.1791653,0.5517019
handR,0.5915223,0.7951019,0.2526268,0.1810095,0.1810095,0.547054
handR,0.591713,0.7934682,0.2540624,0.1885695,0.1885695,0.5479851
handR,0.5911209,0.7913794,0.2549009,0.188076,0.188076,0.5601077
handR,0.5918095,0.7899939,0.256003,0.1928978,0.1928978,0.5630662
handR,0.5938972,0.7908745,0.2563455,0.192962,0.192962,0.5553423
handR,0.5937562,0.7898943,0.25731,0.1885432,0.1885432,0.5675334
handR,0.5927744,0.7889468,0.2577574,0.1913142,0.1913142,0.5730964
handR,0.5924534,0.7867015,0.2569244,0.1865572,0.1865572,0.5779524
handR,0.5949574,0.7851492,0.2567655,0.1904714,0.1904714,0.5649971
handR,0.5974626,0.7850059,0.2561221,0.1844309,0.1844309,0.5591917
handR,0.5973375,0.7854709,0.2538295,0.1673881,0.1673881,0.5747252
handR,0.5975938,0.7902313,0.2530757,0.1834252,0.1834252,0.5653362
handR,0.5985879,0.7947834,0.2516088,0.182909,0.182909,0.5612751
handR,0.5996206,0.8007449,0.2484364,0.185578,0.185578,0.5544998
handR,0.5995612,0.806531,0.2465039,0.1927324,0.1927324,0.5531589
handR,0.5993924,0.8123099,0.2450943,0.2033796,0.2033796,0.5520109
handR,0.5992242,0.8202633,0.2420638,0.2153592,0.2153592,0.5456876
handR,0.5971771,0.8292598,0.24096,0.2317578,0.2317578,0.5465077
handR,0.5934751,0.8371537,0.241453,0.2496433,0.2496433,0.5555937
handR,0.5912839,0.8438,0.2414407,0.2662499,0.2662499,0.5517468
handR,0.5911794,0.8489839,0.2417994,0.2796792,0.2796792,0.5352185
handR,0.5913209,0.8517066,0.2425583,0.2753419,0.2753419,0.5351193
handR,0.5907333,0.8523055,0.2444134,0.2729971,0.2729971,0.5460671
handR,0.5905187,0.8496152,0.2483765,0.2637689,0.2637689,0.56468
handR,0.5919226,0.8415998,0.2516442,0.2415477,0.2415477,0.5846106
handR,0.5959341,0.8333857,0.2545227,0.2159084,0.2159084,0.5843246
handR,0.6000672,0.8249056,0.2557803,0.1864333,0.1864333,0.5790574
handR,0.6016787,0.8179396,0.2562484,0.1712839,0.1712839,0.5827299
handR,0.6013955,0.8126155,0.2568438,0.1671721,0.1671721,0.5901388
handR,0.6002623,0.8083964,0.2577623,0.1661512,0.1661512,0.6003139
Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
handR,0.599748,0.7941076,0.2573837,0.148614,0.148614,0.6060557
handR,0.5955117,0.7801839,0.2529144,0.1279574,0.1279574,0.616736
handR,0.5960768,0.7763962,0.2509949,0.1268167,0.1268167,0.6101865
handR,0.5964028,0.7765797,0.2510514,0.1294953,0.1294953,0.6106628
handR,0.5959583,0.7780784,0.2512882,0.1365488,0.1365488,0.6139174
handR,0.5967305,0.7786729,0.2513504,0.1382355,0.1382355,0.6135523
handR,0.5973882,0.7804937,0.2506922,0.1432361,0.1432361,0.6090909
handR,0.5983191,0.7882418,0.2505255,0.1581063,0.1581063,0.59641
handR,0.5977589,0.7950955,0.2506398,0.1640355,0.1640355,0.5947788
handR,0.5964914,0.8032039,0.2503743,0.1771822,0.1771822,0.5921744
handR,0.5958748,0.8110499,0.250025,0.1883667,0.1883667,0.5860659
handR,0.5955707,0.8190402,0.2486001,0.1966543,0.1966543,0.5773274
handR,0.5951542,0.8276989,0.2457662,0.2044934,0.2044934,0.5632641
handR,0.5946433,0.8359354,0.2430691,0.2172181,0.2172181,0.5481701
handR,0.5939464,0.8432681,0.2394953,0.2290522,0.2290522,0.5275138
handR,0.591779,0.8510921,0.2341868,0.2390373,0.2390373,0.5058169
handR,0.5875871,0.8586088,0.2292498,0.2537798,0.2537798,0.4960587
handR,0.5814629,0.8650413,0.2244271,0.267465,0.267465,0.4974998
handR,0.5741665,0.8706467,0.2183882,0.2798354,0.2798354,0.5013643
handR,0.5672482,0.8750899,0.212483,0.2920795,0.2920795,0.5016025
handR,0.5607482,0.8770466,0.2065307,0.2933224,0.2933224,0.5003807
handR,0.5546232,0.8787888,0.2009229,0.3114669,0.3114669,0.483133
handR,0.5504106,0.8798194,0.1969201,0.3241509,0.3241509,0.4706325
handR,0.5494552,0.8807563,0.1940788,0.3221182,0.3221182,0.4624915
handR,0.5500343,0.8817905,0.1912901,0.31331,0.31331,0.459879
handR,0.5507243,0.8840765,0.1892224,0.3143623,0.3143623,0.4565424
handR,0.5515824,0.8866913,0.1879205,0.3169183,0.3169183,0.4534028
handR,0.5543135,0.8887517,0.1872011,0.3124075,0.3124075,0.4440927
handR,0.5581131,0.8896832,0.1864178,0.3025826,0.3025826,0.4361272
handR,0.5620514,0.8910474,0.1852795,0.2969113,0.2969113,0.4314429
handR,0.5654181,0.893106,0.183892,0.2893859,0.2893859,0.4346606
handR,0.5671564,0.8953112,0.1828214,0.2853147,0.2853147,0.4463164
handR,0.5678118,0.8976126,0.1814619,0.2876014,0.2876014,0.4553816
handR,0.5679484,0.8988484,0.1801482,0.284528,0.284528,0.4666233
handR,0.5685898,0.9000634,0.1788669,0.2852788,0.2852788,0.4629927
handR,0.5682888,0.8993188,0.179274,0.2893821,0.2893821,0.4561124
handR,0.5692855,0.9000918,0.1776203,0.2890808,0.2890808,0.4549254
handR,0.570353,0.9000803,0.1756348,0.2827282,0.2827282,0.4581688
handR,0.5726584,0.8999943,0.1720172,0.2744487,0.2744487,0.4595917
handR,0.5760629,0.898865,0.1688919,0.2696191,0.2696191,0.4533018
handR,0.581138,0.8963866,0.1660239,0.2613088,0.2613088,0.4434396
handR,0.5865056,0.8920959,0.1630696,0.2446277,0.2446277,0.4470049
handR,0.5917252,0.8872508,0.1602039,0.2312226,0.2312226,0.4540735
handR,0.5963541,0.8819677,0.1572471,0.2220092,0.2220092,0.460858
handR,0.6005609,0.8760411,0.1537414,0.207854,0.207854,0.4699071
handR,0.6048816,0.8705374,0.1502905,0.1976249,0.1976249,0.4741257
handR,0.6092923,0.8648418,0.1465006,0.1853033,0.1853033,0.4723178
handR,0.6135855,0.8584524,0.1424955,0.1707838,0.1707838,0.4751616
handR,0.6170807,0.8523177,0.1390221,0.1594594,0.1594594,0.480752
handR,0.6193919,0.8463564,0.1361191,0.1482437,0.1482437,0.4900968
handR,0.6201819,0.840952,0.1338654,0.135183,0.135183,0.5013168
handR,0.6195697,0.8358602,0.1335515,0.1434524,0.1434524,0.5122287
handR,0.6184438,0.8302854,0.133117,0.1361808,0.1361808,0.5270454
handR,0.6178532,0.825914,0.1334736,0.1397158,0.1397158,0.5302426
handR,0.6162511,0.821555,0.1347733,0.1389077,0.1389077,0.5456821
handR,0.6135435,0.816384,0.1359242,0.1373399,0.1373399,0.5673326
handR,0.61155,0.8126115,0.1375298,0.1489565,0.1489565,0.5737581
handR,0.6100265,0.8117273,0.1407746,0.1787917,0.1787917,0.566446
handR,0.6088139,0.8110563,0.1429568,0.1770315,0.1770315,0.571751
handR,0.6082938,0.8098128,0.1427907,0.154683,0.154683,0.5798187
handR,0.6091065,0.8108482,0.1420289,0.1574339,0.1574339,0.5679736
handR,0.608146,0.8052267,0.1441135,0.154136,0.154136,0.5684668
