Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843
