Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
handL,-0.1788368,0.9284161,0.1454829,-0.2765941,-0.2765941,0.6604357
handL,-0.1783602,0.9273003,0.1463279,-0.2785643,-0.2785643,0.6602929
handL,-0.1780528,0.9269146,0.1464723,-0.2789775,-0.2789775,0.6601781
handL,-0.1777315,0.9266817,0.1466121,-0.2796212,-0.2796212,0.6603432
handL,-0.1774304,0.9267716,0.1464747,-0.2797127,-0.2797127,0.6606924
handL,-0.1773848,0.9267875,0.146186,-0.2790841,-0.2790841,0.6611084
handL,-0.1775902,0.9267117,0.1459777,-0.2789618,-0.2789618,0.6610988
handL,-0.1776372,0.9269783,0.1456353,-0.2784469,-0.2784469,0.6614239
handL,-0.1776229,0.9272296,0.1453853,-0.2780171,-0.2780171,0.6617455
handL,-0.1776174,0.9272721,0.1452981,-0.2779604,-0.2779604,0.661716
handL,-0.1774624,0.9272701,0.1451648,-0.2780897,-0.2780897,0.6616276
handL,-0.1769657,0.9270509,0.1451609,-0.2784368,-0.2784368,0.6619986
handL,-0.1764772,0.9267939,0.1452147,-0.2788626,-0.2788626,0.6623039
handL,-0.1759347,0.9264285,0.1453931,-0.279803,-0.279803,0.6621278
handL,-0.1754767,0.9258536,0.1458043,-0.2809655,-0.2809655,0.661608
handL,-0.1750049,0.9250147,0.1464047,-0.2826186,-0.2826186,0.6613588
handL,-0.1745208,0.9240545,0.1471915,-0.2845911,-0.2845911,0.6606197
handL,-0.1741399,0.9230474,0.1481222,-0.2871555,-0.2871555,0.6590931
handL,-0.1738819,0.9214095,0.1497723,-0.2931654,-0.2931654,0.6540129
handL,-0.173936,0.9200909,0.1511997,-0.2994445,-0.2994445,0.6488118
handL,-0.1739887,0.9194593,0.1521378,-0.3019342,-0.3019342,0.6469517
handL,-0.1741471,0.9194183,0.1523804,-0.2983254,-0.2983254,0.6449153
handL,-0.1748145,0.9188988,0.1535032,-0.3015358,-0.3015358,0.6353098
handL,-0.1754793,0.917773,0.1548674,-0.3131403,-0.3131403,0.6239176
