Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z
handR,0.03057393,0.7576802,0.318826,0.7625459,0.7625459,0.2746157
handR,0.03030008,0.7520289,0.3186742,0.7545475,0.7545475,0.2990493
handR,0.02975404,0.7506043,0.3188572,0.7570702,0.7570702,0.2965247
handR,0.02998341,0.7550412,0.3192997,0.7604583,0.7604583,0.2761861
handR,0.03011117,0.7639884,0.3186485,0.7687589,0.7687589,0.2664124
handR,0.03187465,0.7737018,0.3175102,0.763753,0.763753,0.2655844
handR,0.03269995,0.7853639,0.316251,0.7706324,0.7706324,0.2305598
handR,0.03543545,0.8064131,0.3132746,0.7686517,0.7686517,0.1632625
handR,0.039311,0.8231968,0.3070528,0.7640164,0.7640164,0.1483905
handR,0.04237261,0.8371038,0.3004784,0.7650048,0.7650048,0.1572477
handR,0.04715429,0.8504612,0.2946498,0.7485875,0.7485875,0.1553267
handR,0.05187386,0.8642913,0.2867975,0.7439004,0.7439004,0.1299976
handR,0.05553754,0.8763324,0.2785539,0.7470639,0.7470639,0.1065933
handR,0.05872084,0.8858593,0.2719763,0.7472221,0.7472221,0.08425659
handR,0.06299983,0.8938237,0.2671209,0.7367905,0.7367905,0.07826702
handR,0.06879647,0.9004186,0.2622755,0.7257984,0.7257984,0.1017254
handR,0.07365023,0.9048051,0.258861,0.7170627,0.7170627,0.126094
handR,0.07820137,0.907489,0.2570801,0.7023811,0.7023811,0.1514017
handR,0.08245476,0.909522,0.2546657,0.6961753,0.6961753,0.1710123
handR,0.08578029,0.9122205,0.2517883,0.6898388,0.6898388,0.1727119
handR,0.08957919,0.9140437,0.2494443,0.6786703,0.6786703,0.1764586
handR,0.09135164,0.9149348,0.2482186,0.6729175,0.6729175,0.181334
handR,0.09047052,0.9151937,0.2472809,0.6823338,0.6823338,0.1895298
handR,0.08854709,0.9142697,0.243302,0.6951,0.6951,0.1539695
handR,0.08625112,0.9138726,0.2432514,0.6998723,0.6998723,0.1542241
handR,0.08330875,0.9122463,0.246591,0.6964923,0.6964923,0.1844614
handR,0.07961974,0.9105589,0.2489996,0.6941053,0.6941053,0.2036639
handR,0.07562146,0.9078655,0.2519135,0.697372,0.697372,0.2338067
handR,0.07128341,0.9057108,0.2546094,0.6950388,0.6950388,0.256985
handR,0.06772406,0.9045369,0.2576034,0.6894349,0.6894349,0.2765095
handR,0.0633935,0.9039792,0.2605672,0.6838327,0.6838327,0.2912971
handR,0.05791669,0.9030965,0.264341,0.6791136,0.6791136,0.3120684
handR,0.05062577,0.9034804,0.2687681,0.6751134,0.6751134,0.3250819
handR,0.04187337,0.9051288,0.272857,0.6775047,0.6775047,0.3266081
handR,0.0281723,0.9064623,0.2796624,0.6894905,0.6894905,0.3355869
handR,0.01131858,0.907125,0.2884982,0.6951418,0.6951418,0.3373501
handR,-0.01246681,0.9093593,0.2975266,0.7212673,0.7212673,0.3162153
handR,-0.03749201,0.9121004,0.3064296,0.7446356,0.7446356,0.3120163
handR,-0.06180741,0.9137275,0.3154523,0.7523414,0.7523414,0.3155274
handR,-0.08950335,0.9141151,0.3240946,0.7638417,0.7638417,0.3356159
handR,-0.117467,0.9138578,0.3336238,0.7671974,0.7671974,0.3587629
handR,-0.1443856,0.9160403,0.3406943,0.7881194,0.7881194,0.3198419
handR,-0.1735417,0.9191596,0.3442637,0.8184094,0.8184094,0.2619592
handR,-0.2001116,0.9180871,0.3500961,0.8230956,0.8230956,0.2822644
handR,-0.2259399,0.91496,0.357639,0.8207801,0.8207801,0.3052306
